"Key","SourceString",""
"FFr_Cell.DisplayName","Cell",""
"FFr_Cell.Text","Manfred wakes up in a padded cell without any memory how he got there. With him is Dr. Artie Cee, who is absolutely convinced that Manfred is insane and needs professional help. But will Manfred cooperate?",""
"FFr_Corridor.DisplayName","Corridor",""
"FFr_Corridor.Text","Manfred managed to escape his cell, but he's still inside the mental home. In the corridor he has to choose whether he wants to take the direct route through the lobby or if he wants to try his luck in the cellar.",""
"FFr_Cellar.DisplayName","Cellar",""
"FFr_Cellar.Text","A hamster turns out to be the only living being in the cellar. The way back is closed, so Manfred needs to be ""creative"" to escape the looney bin.",""
"FFr_TheEnd.DisplayName","The End",""
"FFr_TheEnd.Text","Manfred managed to escape the sanitarium somehow. Now is judgement day!",""
"FFr_Lobby.DisplayName","Lobby",""
"FFr_Lobby.Text","Depending on Manfred's decision in the cell, he either needs to get past the Guard or Dr. Artie Cee (again).",""
"Dlg_649F8435.DisplayName","Waking Up",""
"Dlg_649F8435.Text","Manfred wakes up in a padded cell without any memory how he got there. With him is Dr. Artie Cee, who is absolutely convinced that Manfred is insane and needs professional help. But will Manfred cooperate?",""
"Dlg_TheTherapist.DisplayName","The Therapist",""
"Dlg_TheTherapist.Text","Talk to the therapist.",""
"Dlg_TheClosedDoor.DisplayName","The Closed Door",""
"Dlg_TheClosedDoor.Text","Try to open the door.",""
"Dlg_Umbrella.DisplayName","Umbrella",""
"Dlg_Umbrella.Text","Have a closer look at the umbrella.",""
"Dlg_HelpMe.DisplayName","Help me!",""
"Dlg_HelpMe.Text","A mysterious voice is asking Manfred for help. Will Manfred follow this cry for help?",""
"Dlg_EnvironmentComments.DisplayName","Environment Comments",""
"Dlg_EnvironmentComments.Text","All player comments on objects in the environment.",""
"Dlg_Trapped.DisplayName","Trapped",""
"Dlg_Trapped.Text","The door falls shut behind you.",""
"Dlg_TheHamster.DisplayName","The Hamster",""
"Dlg_UpperDrawer.DisplayName","Upper drawer",""
"Dlg_Overflow.DisplayName","Overflow",""
"Dlg_EnvironmentComments_Cellar.DisplayName","Environment Comments",""
"Dlg_BombConstructionManual.DisplayName","Bomb construction manual",""
"Dlg_Locker.DisplayName","Locker",""
"Dlg_Judgement.DisplayName","Judgement",""
"Dlg_Judgement.Text","The final judgement based on the player's choices.",""
"Dlg_ManfredVsDrArtieCee.DisplayName","Manfred vs Dr. Artie Cee",""
"Dlg_ManfredVsDrArtieCee.Text","Find a way past the doctor to get the full taste of freedom again!",""
"Dlg_ManfredVsTheGuard.DisplayName","Manfred vs the Guard",""
"Dlg_ManfredVsTheGuard.Text","Find a way past the guard to get the full taste of freedom again!",""
"Dlg_ItemInteractions_Lobby.DisplayName","Item Interactions",""
"Dlg_EnvironmentComments_Lobby.DisplayName","Environment Comments",""
"Dlg_ItemInteractions.DisplayName","Item Interactions",""
"Dlg_ItemInteractions.Text","General item interaction comments.",""
"DFr_3417D7D7.Text","Ah, you're recovering from the anaesthesia. How are you feeling?",""
"DFr_FE85200B.Text","I'm not sure... I'm a bit dizzy... Is it just me or is the perspective of this room somehow incorrect?",""
"DFr_570BFF47.Text","Just the usual side-effect of the narcotic.",""
"DFr_62812D41.Text","Where am I?",""
"DFr_768FD20A.Text","Interesting. It seems you lost your memory. Well, nothing to worry about.",""
"DFr_E3AC36E6.Text","You are in the ""Lucas Artsington Sanitarium for the mentally disordered"".",""
"DFr_AFFEF7FB.PreviewText","I'm in a looney bin?",""
"DFr_AFFEF7FB.Text","Whoa, wait a second, are you telling me I'm in a looney bin?",""
"DFr_CFD417A4.Text","Well, I would use a different term, but basically yes. You admitted yourself to flee from something you called ""uncontrollable interactivity"".",""
"DFr_B99D1535.Text","But you're in good hands, trust me. With my patented thought organizing therapy we'll have everything under control.",""
"DFr_47A622A4.Text","Okay, you think I'm insane... But you are wrong, doctor! I'm absolutely fine.",""
"DFr_21529E2A.Text","So, would you be so kind to show me the way out?",""
"DFr_F807073D.Text","No offense, but I'm the one who decides who is a maddish lunatic and who is not. And your case definitely needs further investigation before we can confirm a diagnosis.",""
"DFr_C68A3C2A.Text","Oh my dear, you're recovering from the anaesthesia. How are you feeling?",""
"DFr_C68A3C2A.Text.VOAsset","0x01000000000030A4",""
"DFr_E76A8DE7.PreviewText","What happened?",""
"DFr_E76A8DE7.Text","Anaesthesia? What the hell happened?",""
"DFr_E76A8DE7.Text.VOAsset","0x01000000000030BC",""
"DFr_077D21C0.PreviewText","I feel dizzy.",""
"DFr_077D21C0.Text","I'm not sure... I'm a bit dizzy... Is it just me or is the perspective of this room somehow incorrect?",""
"DFr_077D21C0.Text.VOAsset","0x01000000000030BF",""
"DFr_F83B9B96.Text","Interesting. It seems you lost your memory. Well, nothing to worry about.",""
"DFr_F83B9B96.Text.VOAsset","0x01000000000030AA",""
"DFr_2A757012.Text","Just the usual side-effect of the narcotic.",""
"DFr_2A757012.Text.VOAsset","0x01000000000030A7",""
"DFr_E6F6D67C.Text","You are in the ""Lucas Artsington Sanitarium for the Mentally Disordered"".",""
"DFr_E6F6D67C.Text.VOAsset","0x01000000000030AD",""
"DFr_85615A1C.Text","Where am I?",""
"DFr_85615A1C.Text.VOAsset","0x01000000000030C2",""
"DFr_07F8B90E.PreviewText","I'm in a looney bin?",""
"DFr_07F8B90E.Text","Whoa, wait a second, are you telling me I'm in a looney bin?",""
"DFr_07F8B90E.Text.VOAsset","0x01000000000030C5",""
"DFr_DBDEF386.PreviewText","I lost my memory?",""
"DFr_DBDEF386.Text","I lost my memory? That's definitely something I worry about!",""
"DFr_DBDEF386.Text.VOAsset","0x01000000000030C8",""
"DFr_86AB90CE.PreviewText","I'm absolutely sane!",""
"DFr_86AB90CE.Text","Okay, you think I'm insane... But you are wrong, doctor! I'm absolutely fine.",""
"DFr_86AB90CE.Text.VOAsset","0x01000000000030CB",""
"DFr_93D35222.Text","Well, I would use a different term, but basically yes. You admitted yourself to flee from something you called ""uncontrollable interactivity"".",""
"DFr_93D35222.Text.VOAsset","0x01000000000030B0",""
"DFr_7E36A9C4.Text","Nothing we can't fix. Just needs some more sessions full of questions, hypnosis and perhaps a little brain surgery... and soon all your awful memories will return.",""
"DFr_7E36A9C4.Text.VOAsset","0x01000000000030B6",""
"DFr_DECDC4FC.Text","You tried to tame the ""beast of nonlinearity"" with Post-it notes on the wall. At first it seemed to work, but then.... one of your notes fell down and you had a complete breakdown.",""
"DFr_DECDC4FC.Text.VOAsset","0x0000000000000000",""
"DFr_C7E26921.Text","So, would you be so kind to show me the way out?",""
"DFr_C7E26921.Text.VOAsset","0x01000000000030A1",""
"DFr_2D82B578.Text","No offense, but I'm the one who decides who is a maddish lunatic and who is not. And your case definitely needs further investigation before we can confirm a diagnosis.",""
"DFr_2D82B578.Text.VOAsset","0x01000000000030B9",""
"DFr_BF4DF05C.PreviewText","I'm right back.",""
"DFr_BF4DF05C.Text","Wait a moment, I'm right back to explain to you why I'm NOT crazy!",""
"DFr_D477B140.Text","Ok, I have the key. Let's get out of here!",""
"DFr_3C986E7C.PreviewText","Let me convince you!",""
"DFr_3C986E7C.Text","Well, think about it. One is insane, if one does crazy things, right?",""
"DFr_3CE3A7C7.Text","Ah, my favorite weirdo. Do you want to continue the therapy?",""
"DFr_42EBB506.Text","I somehow feel bad... but he was really annoying, right?",""
"DFr_19FC09FB.Text","But you're in good hands, trust me. With my patented thought organizing therapy we'll have everything under control.",""
"DFr_19FC09FB.Text.VOAsset","0x01000000000030B3",""
"DFr_4F1A58AA.Text","To do crazy things you have to be really crazy, right? To diagnose that somebody is crazy, you actually have to see him do crazy things, right?",""
"DFr_4B99DDD8.Text","And even if somebody does something crazy but no one is there to see it, you have to assume that it never happened, right?",""
"DFr_B1D1FCD6.Text","So a high profiled scientist like you has to reason that if I'm not doing anything crazy right now, then I'm neither crazy nor insane, right? And then you have to let me go, right?",""
"DFr_94BFD742.Text","I guess...",""
"DFr_C2E7F261.Text","So, you have to let me go, right?",""
"DFr_C8372D95.Text","Will you stop saying ""right""?",""
"DFr_A79A0E3C.PreviewText","No
",""
"DFr_A79A0E3C.Text","No.",""
"DFr_1C9B7D0D.Text","Ok... I'll leave you now. The door will be open... it's up to you to, if you want to stay and get help or if you want to go and try your luck out there.",""
"DFr_97691CB3.Text","Well... that was easy.",""
"DFr_E2D713E1.Text","In this case... no! It would be irresponsible to let you get in contact with society in your current state of mind.",""
"DFr_1A1ED2B9.Text","[turns around] At least you didn't lose your sense of humor.",""
"DFr_BA3AEDF3.Text","Well, in case you want to go on with the therapy... just start banging on the door like a maniac. [leaves the cell]",""
"DFr_D27CBDAD.Text","Ah, I found a key! But I won't tell where I found it... believe me, you don't wanna know.",""
"DFr_A03A6199.PreviewText","*Search therapist*",""
"DFr_A03A6199.Text","Well... looting time!",""
"DFr_EFE0F58F.Text","I searched him more than enough...",""
"DFr_715BDAA9.Text","Oops... I slipped and dropped the crowbar, but the kind doctor catched it...",""
"DFr_CE137142.Text","No, no, no. I don't want to disturb his slumber.",""
"DFr_B6E69130.Text","...with his head. How lucky.",""
"DFr_C438B0AE.PreviewText","The door is locked. ",""
"DFr_C438B0AE.Text","The door is locked.",""
"DFr_0B985180.PreviewText","Let's see... [inspect door]",""
